Contract;Rate;Date;kWh ;Consumption code;Average temperature (°C);Temperature code
0311859414;D;2019-02-14;84.48;R;-6;R
0311859414;D;2019-02-13;94.93;R;-4;R
0311859414;D;2019-02-12;99.43;R;-13;R
0311859414;D;2019-02-11;89.40;R;-12;R
0311859414;D;2019-02-10;82.31;R;-10;R
0311859414;D;2019-02-09;83.65;R;-10;R
0311859414;D;2019-02-08;70.74;R;0;R
0311859414;D;2019-02-07;61.64;R;-4;R
0311859414;D;2019-02-06;65.07;R;-9;R
0311859414;D;2019-02-05;75.49;R;-1;R
0311859414;D;2019-02-04;84.47;R;-6;R
0311859414;D;2019-02-03;96.62;R;-12;R
0311859414;D;2019-02-02;85.07;R;-11;R
0311859414;D;2019-02-01;90.82;R;-15;R
0311859414;D;2019-01-31;89.94;R;-16;R
0311859414;D;2019-01-30;87.67;R;-12;R
0311859414;D;2019-01-29;95.75;R;-13;R
0311859414;D;2019-01-28;77.51;R;-18;R
0311859414;D;2019-01-27;77.90;R;-8;R
0311859414;D;2019-01-26;72.43;R;-13;R
0311859414;D;2019-01-25;65.90;R;-7;R
0311859414;D;2019-01-24;76.22;R;0;R
0311859414;D;2019-01-23;88.21;R;-8;R
0311859414;D;2019-01-22;95.11;R;-18;R
0311859414;D;2019-01-21;99.62;R;-19;R
0311859414;D;2019-01-20;108.61;R;-18;R
0311859414;D;2019-01-19;101.03;R;-21;R
0311859414;D;2019-01-18;87.53;R;-13;R
0311859414;D;2019-01-17;76.66;R;-17;R
0311859414;D;2019-01-16;74.66;R;-5;R
0311859414;D;2019-01-15;89.21;R;-5;R
0311859414;D;2019-01-14;98.00;R;-12;R
0311859414;D;2019-01-13;105.36;R;-14;R
0311859414;D;2019-01-12;95.38;R;-16;R
0311859414;D;2019-01-11;81.68;R;-16;R
0311859414;D;2019-01-10;63.71;R;-7;R
0311859414;D;2019-01-09;64.30;R;-1;R
0311859414;D;2019-01-08;69.17;R;-2;R
0311859414;D;2019-01-07;73.44;R;-13;R
0311859414;D;2019-01-06;50.90;R;-4;R
0311859414;D;2019-01-05;77.22;R;1;R
0311859414;D;2019-01-04;80.47;R;1;R
0311859414;D;2019-01-03;89.36;R;-10;R
0311859414;D;2019-01-02;81.63;R;-13;R
0311859414;D;2019-01-01;60.69;R;-3;R
0311859414;D;2018-12-31;66.31;R;-5;R
0311859414;D;2018-12-30;66.83;R;-10;R
0311859414;D;2018-12-29;64.83;R;-4;R
0311859414;D;2018-12-28;105.12;R;0;R
0311859414;D;2018-12-27;19.66;R;-11;R
0311859414;D;2018-12-26;4.67;R;-8;R
0311859414;D;2018-12-25;4.88;R;-11;R
0311859414;D;2018-12-24;4.74;R;-8;R
0311859414;D;2018-12-23;4.33;R;-8;R
0311859414;D;2018-12-22;5.33;R;-1;R
0311859414;D;2018-12-21;41.45;R;3;R
0311859414;D;2018-12-20;73.64;R;-2;R
0311859414;D;2018-12-19;85.97;R;-6;R
0311859414;D;2018-12-18;74.83;R;-7;R
0311859414;D;2018-12-17;75.64;R;-1;R
0311859414;D;2018-12-16;84.06;R;-1;R
0311859414;D;2018-12-15;65.32;R;2;R
0311859414;D;2018-12-14;85.21;R;-2;R
0311859414;D;2018-12-13;95.28;R;-12;R
0311859414;D;2018-12-12;103.66;R;-11;R
